name,abbreviation,largest_city,capital,bordering,flag,state_nickname,nickname_reverse,blankmap,location,n_bordering,Tags
Alabama,AL,Birmingham,Montgomery,"Florida, Georgia, Mississippi, Tennessee","<img src=""a1fbdf69b436f528728a69548b0e3768.gif"" />",The Yellowhammer State,y,"<img src=""us_base.svg"">","<img src=""us_state_AL.svg"">",4,mcs::subjects::geography::political::countries::united_states::states
Alaska,AK,Anchorage,Juneau,,"<img src=""5daea436523c15c4bacb6ffef0a5c03a.gif"" />",The Last Frontier,y,"<img src=""us_base.svg"">","<img src=""us_state_AK.svg"">",0,mcs::subjects::geography::political::countries::united_states::states
Arizona,AZ,Phoenix,Phoenix,"California, Colorado, Nevada, New Mexico, Utah","<img src=""281eec9adf11b615794cff36adf37ff4.gif"" />",The Grand Canyon State,y,"<img src=""us_base.svg"">","<img src=""us_state_AZ.svg"">",5,mcs::subjects::geography::political::countries::united_states::states
Arkansas,AR,Little Rock,Little Rock,"Louisiana, Mississippi, Missouri, Oklahoma, Tennessee, Texas","<img src=""dbdf84279e38e2cd92f6609714c66347.gif"" />",The Natural State,y,"<img src=""us_base.svg"">","<img src=""us_state_AR.svg"">",6,mcs::subjects::geography::political::countries::united_states::states
California,CA,Los Angelas,Sacramento,"Oregon, Nevada, Arizona","<img src=""6167d783df8864232a71761989305117.gif"" />",The Golden State,y,"<img src=""us_base.svg"">","<img src=""us_state_CA.svg"">",3,mcs::subjects::geography::political::countries::united_states::states
Colorado,CO,Denver,Denver,"Arizona, Kansas, Nebraska, New Mexico, Oklahoma, Utah, Wyoming","<img src=""d039c8d74502ab9f4db219e478d58367.gif"" />",The Centennial State,y,"<img src=""us_base.svg"">","<img src=""us_state_CO.svg"">",7,mcs::subjects::geography::political::countries::united_states::states
Connecticut,CT,Bridgeport,Hartford,"Massachusetts, New York, Rhode Island","<img src=""65538bc6c93248e1850f8e64848cefcf.gif"" />",The Constitution State,y,"<img src=""us_base.svg"">","<img src=""us_state_CT.svg"">",3,mcs::subjects::geography::political::countries::united_states::states
Delaware,DE,Wilmington,Dover,"Maryland, New Jersey, Pennsylvania","<img src=""763f9402fb425a7435b11845e46c7704.gif"" />",The First State,y,"<img src=""us_base.svg"">","<img src=""us_state_DE.svg"">",3,mcs::subjects::geography::political::countries::united_states::states
"Washington, DC",DC,None,None,"Virginia, Maryland","<img src=""4e4ace009680f6c0116fa6ccf53f31a4.gif"" />",Nation's Capital,,"<img src=""us_base.svg"">","<img src=""us_state_DC.svg"">",2,mcs::subjects::geography::political::countries::united_states::states
Florida,FL,Jacksonville,Tallahassee,"Georgia, Alabama","<img src=""c746c77b0b4b40f5e11a82f9cee40169.gif"" />",The Sunshine State,y,"<img src=""us_base.svg"">","<img src=""us_state_FL.svg"">",2,mcs::subjects::geography::political::countries::united_states::states
Georgia,GA,Atlanta,Atlanta,"Florida, Alabama, Tennessee, North Carolina, South Carolina","<img src=""6c8c1eaf69aab3f2d794ee01b37cb91b.gif"" />",The Peach State,y,"<img src=""us_base.svg"">","<img src=""us_state_GA.svg"">",5,mcs::subjects::geography::political::countries::united_states::states
Hawaii,HI,Honolulu,Honolulu,,"<img src=""f15ddf38fc9a7505bce3117e80626abb.gif"" />",The Aloha State,y,"<img src=""us_base.svg"">","<img src=""us_state_HI.svg"">",0,mcs::subjects::geography::political::countries::united_states::states
Idaho,ID,Boise,Boise,"Montana, Nevada, Oregon, Utah, Washington, Wyoming","<img src=""5ea7cbbb7a82baf72ae6255fea06d2cd.gif"" />",The Gem State,y,"<img src=""us_base.svg"">","<img src=""us_state_ID.svg"">",6,mcs::subjects::geography::political::countries::united_states::states
Illinios,IL,Chicago,Springfield,"Indiana, Kentucky, Missouri, Iowa, Wisconsin","<img src=""c9cced478f2c2adb49e727186e00bed5.gif"" />",The Prairie State,y,"<img src=""us_base.svg"">","<img src=""us_state_IL.svg"">",5,mcs::subjects::geography::political::countries::united_states::states
Indiana,IN,Indianapolis,Indianapolis,"Illinois, Kentucky, Michigan, Ohio","<img src=""53caa0df9700dcf353bb9d90e52d1c42.gif"" />",The Hoosier State,y,"<img src=""us_base.svg"">","<img src=""us_state_IN.svg"">",4,mcs::subjects::geography::political::countries::united_states::states
Iowa,IA,Des Moines,Des Moines,"Illinois, Nebraska, Minnesota, Missouri, South Dakota, Wisconsin","<img src=""25a8558db1a6e036723e9617d11c2f9e.gif"" />",The Hawkeye State,y,"<img src=""us_base.svg"">","<img src=""us_state_IA.svg"">",6,mcs::subjects::geography::political::countries::united_states::states
Kansas,KS,Wichita,Topeka,"Colorado, Missouri, Nebraska, Oklahoma","<img src=""0273f61c1ce802e26074f59920a9948c.gif"" />",The Sunflower State,y,"<img src=""us_base.svg"">","<img src=""us_state_KS.svg"">",4,mcs::subjects::geography::political::countries::united_states::states
Kentucky,KY,Louisville,Frankfort,"Illinois, Indiana, Missouri, Ohio, Tennessee, Virginia, West Virginia","<img src=""fb44dd4dcd4a4ef6ab06e6a4c4628914.gif"" />",The Bluegrass State,y,"<img src=""us_base.svg"">","<img src=""us_state_KY.svg"">",7,mcs::subjects::geography::political::countries::united_states::states
